2019-12-04 10:42:53.896295:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-04 10:42:53.896445:   [INFO  ]   Hello world!
2019-12-04 10:42:53.896612:   [INFO  ]   Start main processing!
2019-12-04 10:42:53.896707:   [START ]   Start Prepare Traning data
2019-12-04 10:42:53.896802:   [START ]   Initialize parameters Start
2019-12-04 10:42:53.896878:   [DONE  ]   Initialize parameters Done
2019-12-04 10:42:53.897008:   [START ]   Start setup FOLD
2019-12-04 10:42:53.897193:   [START ]   Setup FOLD Done
2019-12-04 10:42:53.897279:   [START ]   Start Reading KET
2019-12-04 10:42:55.362589:   [DONE  ]   Preprocess ./dataset/cambridge/KET/1.txt Done
2019-12-04 10:42:55.381326:   [DONE  ]   Preprocess ./dataset/cambridge/KET/2.txt Done
2019-12-04 10:42:55.394060:   [DONE  ]   Preprocess ./dataset/cambridge/KET/3.txt Done
2019-12-04 10:42:55.418036:   [DONE  ]   Preprocess ./dataset/cambridge/KET/4.txt Done
2019-12-04 10:42:55.433561:   [DONE  ]   Preprocess ./dataset/cambridge/KET/5.txt Done
2019-12-04 10:42:55.448392:   [DONE  ]   Preprocess ./dataset/cambridge/KET/6.txt Done
2019-12-04 10:42:55.473033:   [DONE  ]   Preprocess ./dataset/cambridge/KET/7.txt Done
2019-12-04 10:42:55.489506:   [DONE  ]   Preprocess ./dataset/cambridge/KET/8.txt Done
2019-12-04 10:42:55.503684:   [DONE  ]   Preprocess ./dataset/cambridge/KET/9.txt Done
2019-12-04 10:42:55.528432:   [DONE  ]   Preprocess ./dataset/cambridge/KET/10.txt Done
2019-12-04 10:42:55.550079:   [DONE  ]   Preprocess ./dataset/cambridge/KET/11.txt Done
2019-12-04 10:42:55.563995:   [DONE  ]   Preprocess ./dataset/cambridge/KET/12.txt Done
2019-12-04 10:42:55.589837:   [DONE  ]   Preprocess ./dataset/cambridge/KET/13.txt Done
2019-12-04 10:42:55.605217:   [DONE  ]   Preprocess ./dataset/cambridge/KET/14.txt Done
2019-12-04 10:42:55.617619:   [DONE  ]   Preprocess ./dataset/cambridge/KET/15.txt Done
2019-12-04 10:42:55.642628:   [DONE  ]   Preprocess ./dataset/cambridge/KET/16.txt Done
2019-12-04 10:42:55.660016:   [DONE  ]   Preprocess ./dataset/cambridge/KET/17.txt Done
2019-12-04 10:42:55.672131:   [DONE  ]   Preprocess ./dataset/cambridge/KET/18.txt Done
2019-12-04 10:42:55.698914:   [DONE  ]   Preprocess ./dataset/cambridge/KET/19.txt Done
2019-12-04 10:42:55.711862:   [DONE  ]   Preprocess ./dataset/cambridge/KET/20.txt Done
2019-12-04 10:42:55.723663:   [DONE  ]   Preprocess ./dataset/cambridge/KET/21.txt Done
2019-12-04 10:42:55.751736:   [DONE  ]   Preprocess ./dataset/cambridge/KET/22.txt Done
2019-12-04 10:42:55.767773:   [DONE  ]   Preprocess ./dataset/cambridge/KET/23.txt Done
2019-12-04 10:42:55.777301:   [DONE  ]   Preprocess ./dataset/cambridge/KET/24.txt Done
2019-12-04 10:42:55.803308:   [DONE  ]   Preprocess ./dataset/cambridge/KET/25.txt Done
2019-12-04 10:42:55.819088:   [DONE  ]   Preprocess ./dataset/cambridge/KET/26.txt Done
2019-12-04 10:42:55.832200:   [DONE  ]   Preprocess ./dataset/cambridge/KET/27.txt Done
2019-12-04 10:42:55.858230:   [DONE  ]   Preprocess ./dataset/cambridge/KET/28.txt Done
2019-12-04 10:42:55.874728:   [DONE  ]   Preprocess ./dataset/cambridge/KET/29.txt Done
2019-12-04 10:42:55.887231:   [DONE  ]   Preprocess ./dataset/cambridge/KET/30.txt Done
2019-12-04 10:42:55.917940:   [DONE  ]   Preprocess ./dataset/cambridge/KET/31.txt Done
2019-12-04 10:42:55.934900:   [DONE  ]   Preprocess ./dataset/cambridge/KET/32.txt Done
2019-12-04 10:42:55.946242:   [DONE  ]   Preprocess ./dataset/cambridge/KET/33.txt Done
2019-12-04 10:42:55.970750:   [DONE  ]   Preprocess ./dataset/cambridge/KET/34.txt Done
2019-12-04 10:42:55.985607:   [DONE  ]   Preprocess ./dataset/cambridge/KET/35.txt Done
2019-12-04 10:42:55.998860:   [DONE  ]   Preprocess ./dataset/cambridge/KET/36.txt Done
2019-12-04 10:42:56.024844:   [DONE  ]   Preprocess ./dataset/cambridge/KET/37.txt Done
2019-12-04 10:42:56.040772:   [DONE  ]   Preprocess ./dataset/cambridge/KET/38.txt Done
2019-12-04 10:42:56.053304:   [DONE  ]   Preprocess ./dataset/cambridge/KET/39.txt Done
2019-12-04 10:42:56.080992:   [DONE  ]   Preprocess ./dataset/cambridge/KET/40.txt Done
2019-12-04 10:42:56.098022:   [DONE  ]   Preprocess ./dataset/cambridge/KET/41.txt Done
2019-12-04 10:42:56.110395:   [DONE  ]   Preprocess ./dataset/cambridge/KET/42.txt Done
2019-12-04 10:42:56.135976:   [DONE  ]   Preprocess ./dataset/cambridge/KET/43.txt Done
2019-12-04 10:42:56.156354:   [DONE  ]   Preprocess ./dataset/cambridge/KET/44.txt Done
2019-12-04 10:42:56.169539:   [DONE  ]   Preprocess ./dataset/cambridge/KET/45.txt Done
2019-12-04 10:42:56.197417:   [DONE  ]   Preprocess ./dataset/cambridge/KET/46.txt Done
2019-12-04 10:42:56.213288:   [DONE  ]   Preprocess ./dataset/cambridge/KET/47.txt Done
2019-12-04 10:42:56.224871:   [DONE  ]   Preprocess ./dataset/cambridge/KET/48.txt Done
2019-12-04 10:42:56.250349:   [DONE  ]   Preprocess ./dataset/cambridge/KET/49.txt Done
2019-12-04 10:42:56.267409:   [DONE  ]   Preprocess ./dataset/cambridge/KET/50.txt Done
2019-12-04 10:42:56.267560:   [DONE  ]   Read KET Done
2019-12-04 10:42:56.267659:   [START ]   Start Reading PET
2019-12-04 10:42:56.304797:   [DONE  ]   Preprocess ./dataset/cambridge/PET/1.txt Done
2019-12-04 10:42:56.330487:   [DONE  ]   Preprocess ./dataset/cambridge/PET/2.txt Done
2019-12-04 10:42:56.350377:   [DONE  ]   Preprocess ./dataset/cambridge/PET/3.txt Done
2019-12-04 10:42:56.399468:   [DONE  ]   Preprocess ./dataset/cambridge/PET/4.txt Done
2019-12-04 10:42:56.430202:   [DONE  ]   Preprocess ./dataset/cambridge/PET/5.txt Done
2019-12-04 10:42:56.449767:   [DONE  ]   Preprocess ./dataset/cambridge/PET/6.txt Done
2019-12-04 10:42:56.501920:   [DONE  ]   Preprocess ./dataset/cambridge/PET/7.txt Done
2019-12-04 10:42:56.531274:   [DONE  ]   Preprocess ./dataset/cambridge/PET/8.txt Done
2019-12-04 10:42:56.551509:   [DONE  ]   Preprocess ./dataset/cambridge/PET/9.txt Done
2019-12-04 10:42:56.608961:   [DONE  ]   Preprocess ./dataset/cambridge/PET/10.txt Done
2019-12-04 10:42:56.639516:   [DONE  ]   Preprocess ./dataset/cambridge/PET/11.txt Done
2019-12-04 10:42:56.656913:   [DONE  ]   Preprocess ./dataset/cambridge/PET/12.txt Done
2019-12-04 10:42:56.704119:   [DONE  ]   Preprocess ./dataset/cambridge/PET/13.txt Done
2019-12-04 10:42:56.730391:   [DONE  ]   Preprocess ./dataset/cambridge/PET/14.txt Done
2019-12-04 10:42:56.750757:   [DONE  ]   Preprocess ./dataset/cambridge/PET/15.txt Done
2019-12-04 10:42:56.805587:   [DONE  ]   Preprocess ./dataset/cambridge/PET/16.txt Done
2019-12-04 10:42:56.833432:   [DONE  ]   Preprocess ./dataset/cambridge/PET/17.txt Done
2019-12-04 10:42:56.853201:   [DONE  ]   Preprocess ./dataset/cambridge/PET/18.txt Done
2019-12-04 10:42:56.907124:   [DONE  ]   Preprocess ./dataset/cambridge/PET/19.txt Done
2019-12-04 10:42:56.936743:   [DONE  ]   Preprocess ./dataset/cambridge/PET/20.txt Done
2019-12-04 10:42:56.956426:   [DONE  ]   Preprocess ./dataset/cambridge/PET/21.txt Done
2019-12-04 10:42:57.005869:   [DONE  ]   Preprocess ./dataset/cambridge/PET/22.txt Done
2019-12-04 10:42:57.033421:   [DONE  ]   Preprocess ./dataset/cambridge/PET/23.txt Done
2019-12-04 10:42:57.062598:   [DONE  ]   Preprocess ./dataset/cambridge/PET/24.txt Done
2019-12-04 10:42:57.113155:   [DONE  ]   Preprocess ./dataset/cambridge/PET/25.txt Done
2019-12-04 10:42:57.148476:   [DONE  ]   Preprocess ./dataset/cambridge/PET/26.txt Done
2019-12-04 10:42:57.165743:   [DONE  ]   Preprocess ./dataset/cambridge/PET/27.txt Done
2019-12-04 10:42:57.225942:   [DONE  ]   Preprocess ./dataset/cambridge/PET/28.txt Done
2019-12-04 10:42:57.262800:   [DONE  ]   Preprocess ./dataset/cambridge/PET/29.txt Done
2019-12-04 10:42:57.283014:   [DONE  ]   Preprocess ./dataset/cambridge/PET/30.txt Done
2019-12-04 10:42:57.337698:   [DONE  ]   Preprocess ./dataset/cambridge/PET/31.txt Done
2019-12-04 10:42:57.378870:   [DONE  ]   Preprocess ./dataset/cambridge/PET/32.txt Done
2019-12-04 10:42:57.399566:   [DONE  ]   Preprocess ./dataset/cambridge/PET/33.txt Done
2019-12-04 10:42:57.455321:   [DONE  ]   Preprocess ./dataset/cambridge/PET/34.txt Done
2019-12-04 10:42:57.484982:   [DONE  ]   Preprocess ./dataset/cambridge/PET/35.txt Done
2019-12-04 10:42:57.504815:   [DONE  ]   Preprocess ./dataset/cambridge/PET/36.txt Done
2019-12-04 10:42:57.562649:   [DONE  ]   Preprocess ./dataset/cambridge/PET/37.txt Done
2019-12-04 10:42:57.599200:   [DONE  ]   Preprocess ./dataset/cambridge/PET/38.txt Done
2019-12-04 10:42:57.620480:   [DONE  ]   Preprocess ./dataset/cambridge/PET/39.txt Done
2019-12-04 10:42:57.681610:   [DONE  ]   Preprocess ./dataset/cambridge/PET/40.txt Done
2019-12-04 10:42:57.723749:   [DONE  ]   Preprocess ./dataset/cambridge/PET/41.txt Done
2019-12-04 10:42:57.743382:   [DONE  ]   Preprocess ./dataset/cambridge/PET/42.txt Done
2019-12-04 10:42:57.804665:   [DONE  ]   Preprocess ./dataset/cambridge/PET/43.txt Done
2019-12-04 10:42:57.841466:   [DONE  ]   Preprocess ./dataset/cambridge/PET/44.txt Done
2019-12-04 10:42:57.860067:   [DONE  ]   Preprocess ./dataset/cambridge/PET/45.txt Done
2019-12-04 10:42:57.914742:   [DONE  ]   Preprocess ./dataset/cambridge/PET/46.txt Done
2019-12-04 10:42:57.945002:   [DONE  ]   Preprocess ./dataset/cambridge/PET/47.txt Done
2019-12-04 10:42:57.961735:   [DONE  ]   Preprocess ./dataset/cambridge/PET/48.txt Done
2019-12-04 10:42:58.014260:   [DONE  ]   Preprocess ./dataset/cambridge/PET/49.txt Done
2019-12-04 10:42:58.051966:   [DONE  ]   Preprocess ./dataset/cambridge/PET/50.txt Done
2019-12-04 10:42:58.052090:   [DONE  ]   Read PET Done
2019-12-04 10:42:58.052339:   [START ]   Start Reading FCE
2019-12-04 10:42:58.143372:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/1.txt Done
2019-12-04 10:42:58.215178:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/2.txt Done
2019-12-04 10:42:58.290334:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/3.txt Done
2019-12-04 10:42:58.393928:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/4.txt Done
2019-12-04 10:42:58.485106:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/5.txt Done
2019-12-04 10:42:58.589539:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/6.txt Done
2019-12-04 10:42:58.686806:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/7.txt Done
2019-12-04 10:42:58.769287:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/8.txt Done
2019-12-04 10:42:58.842615:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/9.txt Done
2019-12-04 10:42:58.919774:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/10.txt Done
2019-12-04 10:42:59.005101:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/11.txt Done
2019-12-04 10:42:59.087493:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/12.txt Done
2019-12-04 10:42:59.163941:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/13.txt Done
2019-12-04 10:42:59.232690:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/14.txt Done
2019-12-04 10:42:59.316394:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/15.txt Done
2019-12-04 10:42:59.381410:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/16.txt Done
2019-12-04 10:42:59.470164:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/17.txt Done
2019-12-04 10:42:59.555579:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/18.txt Done
2019-12-04 10:42:59.628511:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/19.txt Done
2019-12-04 10:42:59.697947:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/20.txt Done
2019-12-04 10:42:59.775032:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/21.txt Done
2019-12-04 10:42:59.841320:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/22.txt Done
2019-12-04 10:42:59.943779:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/23.txt Done
2019-12-04 10:43:00.022497:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/24.txt Done
2019-12-04 10:43:00.114179:   [DONE  ]   Preprocess ./dataset/cambridge/FCE/25.txt Done
