2019-12-09 21:56:47.303712:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-09 21:56:47.303925:   [INFO  ]   Hello world!
2019-12-09 21:56:47.304133:   [INFO  ]   Start main processing!
2019-12-09 21:56:48.011167:   [START ]   Start Prepare Traning data
2019-12-09 21:56:48.012468:   [RESULT]   ----------Score on Ele Limiting 0: 2.6436868248226273----------
2019-12-09 21:56:48.012592:   [RESULT]   ----------Score on Ele Limiting 1: 2.6448529739247----------
2019-12-09 21:56:48.012717:   [RESULT]   ----------Score on Ele Limiting 2: 2.8172160273318787----------
2019-12-09 21:56:48.012814:   [RESULT]   ----------Score on Ele Limiting 3: 2.726339582567733----------
2019-12-09 21:56:48.013010:   [RESULT]   ----------Score on Ele Limiting 4: 2.7567133733373144----------
2019-12-09 21:56:48.013192:   [RESULT]   ----------Score on Ele Limiting 5: 2.733152540393774----------
2019-12-09 21:56:48.013294:   [RESULT]   ----------Score on Ele Limiting 6: 2.8823163453501555----------
2019-12-09 21:56:48.013391:   [RESULT]   ----------Score on Ele Limiting 7: 2.9218211225615467----------
2019-12-09 21:56:48.013486:   [RESULT]   ----------Score on Ele Limiting 8: 2.6641439593766294----------
2019-12-09 21:56:48.013579:   [RESULT]   ----------Score on Ele Limiting 9: 2.695905940706451----------
2019-12-09 21:56:48.013779:   [RESULT]   ----------Score on Ele Limiting 10: 2.6564292953127953----------
2019-12-09 21:56:48.013896:   [RESULT]   ----------Score on Ele Limiting 11: 2.81456637913438----------
2019-12-09 21:56:48.014015:   [RESULT]   ----------Score on Ele Limiting 12: 2.9915739203567604----------
2019-12-09 21:56:48.014132:   [RESULT]   ----------Score on Ele Limiting 13: 3.047942628659967----------
2019-12-09 21:56:48.014231:   [RESULT]   ----------Score on Ele Limiting 14: 2.7179617978453425----------
2019-12-09 21:56:48.014325:   [RESULT]   ----------Score on Ele Limiting 15: 2.7005232891378137----------
2019-12-09 21:56:48.014507:   [RESULT]   ----------Score on Ele Limiting 16: 2.887269966385685----------
2019-12-09 21:56:48.014618:   [RESULT]   ----------Score on Ele Limiting 17: 2.9159480651709284----------
2019-12-09 21:56:48.014728:   [RESULT]   ----------Score on Ele Limiting 18: 2.6063634286150132----------
2019-12-09 21:56:48.014826:   [RESULT]   ----------Score on Ele Limiting 19: 2.922376437027578----------
2019-12-09 21:56:48.014940:   [RESULT]   ----------Score on Ele Limiting 20: 2.4374098839358616----------
2019-12-09 21:56:48.015129:   [RESULT]   ----------Score on Ele Limiting 21: 2.8902661467632322----------
2019-12-09 21:56:48.015221:   [RESULT]   ----------Score on Ele Limiting 22: 2.829172510047455----------
2019-12-09 21:56:48.015442:   [RESULT]   ----------Score on Ele Limiting 23: 2.7571858452922897----------
2019-12-09 21:56:48.015602:   [RESULT]   ----------Score on Ele Limiting 24: 2.7941788216439516----------
2019-12-09 21:56:48.015805:   [RESULT]   ----------Score on Ele Limiting 25: 3.039198953800985----------
2019-12-09 21:56:48.015967:   [RESULT]   ----------Score on Ele Limiting 26: 2.738945406138771----------
2019-12-09 21:56:48.016152:   [RESULT]   ----------Score on Ele Limiting 27: 3.043378042993966----------
2019-12-09 21:56:48.016339:   [RESULT]   ----------Score on Ele Limiting 28: 2.6471597985099744----------
2019-12-09 21:56:48.016755:   [RESULT]   ----------Score on Ele Limiting 29: 2.6526784768607925----------
2019-12-09 21:56:48.016907:   [RESULT]   ----------Score on Ele Limiting 30: 2.7884359805662946----------
2019-12-09 21:56:48.017016:   [RESULT]   ----------Score on Ele Limiting 31: 2.6049845656459256----------
2019-12-09 21:56:48.017111:   [RESULT]   ----------Score on Ele Limiting 32: 2.5709275462135173----------
2019-12-09 21:56:48.017205:   [RESULT]   ----------Score on Ele Limiting 33: 2.797325469078365----------
2019-12-09 21:56:48.017316:   [RESULT]   ----------Score on Ele Limiting 34: 2.767516453899084----------
2019-12-09 21:56:48.017410:   [RESULT]   ----------Score on Ele Limiting 35: 3.092017038354498----------
2019-12-09 21:56:48.017603:   [RESULT]   ----------Score on Ele Limiting 36: 3.1327199119578366----------
2019-12-09 21:56:48.017886:   [RESULT]   ----------Score on Ele Limiting 37: 2.736171449730062----------
2019-12-09 21:56:48.017995:   [RESULT]   ----------Score on Ele Limiting 38: 2.813668998735712----------
2019-12-09 21:56:48.018124:   [RESULT]   ----------Score on Ele Limiting 39: 2.8433845669257916----------
2019-12-09 21:56:48.018222:   [RESULT]   ----------Score on Ele Limiting 40: 2.919137290053002----------
2019-12-09 21:56:48.018376:   [RESULT]   ----------Score on Ele Limiting 41: 2.3165093539678034----------
2019-12-09 21:56:48.018477:   [RESULT]   ----------Score on Ele Limiting 42: 2.5849678174818598----------
2019-12-09 21:56:48.018638:   [RESULT]   ----------Score on Ele Limiting 43: 2.9494503585893415----------
2019-12-09 21:56:48.018750:   [RESULT]   ----------Score on Ele Limiting 44: 2.9677698401642796----------
2019-12-09 21:56:48.018851:   [RESULT]   ----------Score on Ele Limiting 45: 2.931822652871819----------
2019-12-09 21:56:48.018985:   [RESULT]   ----------Score on Ele Limiting 46: 2.9110862446495105----------
2019-12-09 21:56:48.019079:   [RESULT]   ----------Score on Ele Limiting 47: 2.604945231680113----------
2019-12-09 21:56:48.019231:   [RESULT]   ----------Score on Ele Limiting 48: 2.7629151319410292----------
2019-12-09 21:56:48.019412:   [RESULT]   ----------Score on Ele Limiting 49: 2.7945911275944457----------
2019-12-09 21:56:48.019528:   [RESULT]   ----------Score on Ele Limiting 50: 3.075256047567384----------
2019-12-09 21:56:48.019630:   [RESULT]   ----------Score on Ele Limiting 51: 3.195880835529715----------
2019-12-09 21:56:48.019800:   [RESULT]   ----------Score on Ele Limiting 52: 3.1219604064221973----------
2019-12-09 21:56:48.019893:   [RESULT]   ----------Score on Ele Limiting 53: 3.0149289073623797----------
2019-12-09 21:56:48.020017:   [RESULT]   ----------Score on Ele Limiting 54: 2.487434285020597----------
2019-12-09 21:56:48.020113:   [RESULT]   ----------Score on Ele Limiting 55: 3.0524618270323822----------
2019-12-09 21:56:48.020225:   [RESULT]   ----------Score on Ele Limiting 56: 3.096376755728059----------
2019-12-09 21:56:48.020319:   [RESULT]   ----------Score on Ele Limiting 57: 2.96351032481832----------
2019-12-09 21:56:48.020479:   [RESULT]   ----------Score on Ele Limiting 58: 2.873417145658867----------
2019-12-09 21:56:48.020590:   [RESULT]   ----------Score on Ele Limiting 59: 2.6165778107866817----------
2019-12-09 21:56:48.020692:   [RESULT]   ----------Score on Ele Limiting 60: 2.6324500029688007----------
2019-12-09 21:56:48.020787:   [RESULT]   ----------Score on Ele Limiting 61: 2.525246693975717----------
2019-12-09 21:56:48.020932:   [RESULT]   ----------Score on Ele Limiting 62: 2.95234830507501----------
2019-12-09 21:56:48.021049:   [RESULT]   ----------Score on Ele Limiting 63: 2.9649090649849206----------
2019-12-09 21:56:48.021139:   [RESULT]   ----------Score on Ele Limiting 64: 2.9130340449823997----------
2019-12-09 21:56:48.021242:   [RESULT]   ----------Score on Ele Limiting 65: 2.6933291528089605----------
2019-12-09 21:56:48.021330:   [RESULT]   ----------Score on Ele Limiting 66: 2.8186658455963136----------
